id,subject,topic,question,optionA,optionB,optionC,optionD,answer,tip
2957,English,Synonyms,Identify the correct option in Synonyms.,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
2958,English,Analogies,Identify the correct option in Analogies.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Use elimination to remove incorrect options quickly.
2959,Physics,Optics,"According to the principle studied in Optics, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Focus on conceptual understanding rather than memorization.
2960,English,Grammar,Choose the correct answer related to Grammar.,Option A concept,Option B concept,Option C concept,Option D concept,C,Use elimination to remove incorrect options quickly.
2961,Mathematics,Trigonometry,Which of the following is correct in Trigonometry?,Statement 1,Statement 2,Statement 3,Statement 4,A,Review the core concept from the FSc textbook.
2962,English,Grammar,Choose the correct answer related to Grammar.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Review the core concept from the FSc textbook.
2963,Physics,Waves,"According to the principle studied in Waves, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Use elimination to remove incorrect options quickly.
2964,English,Vocabulary,Choose the correct answer related to Vocabulary.,Option A concept,Option B concept,Option C concept,Option D concept,B,Focus on conceptual understanding rather than memorization.
2965,Mathematics,Vectors,Which of the following is correct in Vectors?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Use elimination to remove incorrect options quickly.
2966,Mathematics,Probability,Solve the problem related to Probability.,Option A concept,Option B concept,Option C concept,Option D concept,B,Focus on conceptual understanding rather than memorization.
2967,Physics,Electrostatics,A conceptual question from Electrostatics: choose the correct option.,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
2968,Physics,SHM,A conceptual question from SHM: choose the correct option.,Option A concept,Option B concept,Option C concept,Option D concept,C,Recall the key formula or rule from the chapter.
2969,English,Synonyms,Identify the correct option in Synonyms.,Statement 1,Statement 2,Statement 3,Statement 4,A,Recall the key formula or rule from the chapter.
2970,Physics,Circular Motion,"According to the principle studied in Circular Motion, what is correct?",Statement 1,Statement 2,Statement 3,Statement 4,A,Recall the key formula or rule from the chapter.
2971,Physics,Electrostatics,"In Electrostatics, which statement is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Review the core concept from the FSc textbook.
2972,Mathematics,Statistics,Which of the following is correct in Statistics?,Option A concept,Option B concept,Option C concept,Option D concept,B,Focus on conceptual understanding rather than memorization.
2973,Physics,Dynamics,"In Dynamics, which statement is correct?",Option A concept,Option B concept,Option C concept,Option D concept,A,Recall the key formula or rule from the chapter.
2974,Mathematics,Probability,Which of the following is correct in Probability?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Use elimination to remove incorrect options quickly.
2975,Physics,Dynamics,A conceptual question from Dynamics: choose the correct option.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Use elimination to remove incorrect options quickly.
2976,Physics,Electromagnetic Induction,"According to the principle studied in Electromagnetic Induction, what is correct?",Statement 1,Statement 2,Statement 3,Statement 4,A,Review the core concept from the FSc textbook.
2977,Mathematics,Algebra,Which of the following is correct in Algebra?,Statement 1,Statement 2,Statement 3,Statement 4,D,Recall the key formula or rule from the chapter.
2978,Mathematics,Analytical Geometry,Which of the following is correct in Analytical Geometry?,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
2979,English,Reading Comprehension,Choose the correct answer related to Reading Comprehension.,Statement 1,Statement 2,Statement 3,Statement 4,B,Recall the key formula or rule from the chapter.
2980,Mathematics,Vectors,Solve the problem related to Vectors.,Option A concept,Option B concept,Option C concept,Option D concept,B,Review the core concept from the FSc textbook.
2981,Mathematics,Trigonometry,Which of the following is correct in Trigonometry?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Review the core concept from the FSc textbook.
2982,Physics,Modern Physics,"According to the principle studied in Modern Physics, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,C,Focus on conceptual understanding rather than memorization.
2983,English,Sentence Correction,Identify the correct option in Sentence Correction.,Option A concept,Option B concept,Option C concept,Option D concept,B,Review the core concept from the FSc textbook.
2984,Mathematics,Statistics,Solve the problem related to Statistics.,Statement 1,Statement 2,Statement 3,Statement 4,B,Focus on conceptual understanding rather than memorization.
2985,English,Antonyms,Choose the correct answer related to Antonyms.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Use elimination to remove incorrect options quickly.
2986,Physics,SHM,A conceptual question from SHM: choose the correct option.,Option A concept,Option B concept,Option C concept,Option D concept,B,Review the core concept from the FSc textbook.
2987,Physics,SHM,A conceptual question from SHM: choose the correct option.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Review the core concept from the FSc textbook.
2988,Mathematics,Algebra,Which of the following is correct in Algebra?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Recall the key formula or rule from the chapter.
2989,Mathematics,Trigonometry,Choose the correct mathematical statement from Trigonometry.,Option A concept,Option B concept,Option C concept,Option D concept,B,Review the core concept from the FSc textbook.
2990,Mathematics,Functions,Choose the correct mathematical statement from Functions.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Focus on conceptual understanding rather than memorization.
2991,English,Synonyms,Identify the correct option in Synonyms.,Option A concept,Option B concept,Option C concept,Option D concept,D,Review the core concept from the FSc textbook.
2992,Physics,Electromagnetic Induction,A conceptual question from Electromagnetic Induction: choose the correct option.,Option A concept,Option B concept,Option C concept,Option D concept,C,Recall the key formula or rule from the chapter.
2993,Physics,Work Energy Power,"According to the principle studied in Work Energy Power, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,A,Review the core concept from the FSc textbook.
2994,Physics,Current Electricity,"In Current Electricity, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
2995,Mathematics,Limits,Solve the problem related to Limits.,Option A concept,Option B concept,Option C concept,Option D concept,B,Review the core concept from the FSc textbook.
2996,Physics,Modern Physics,"In Modern Physics, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,C,Focus on conceptual understanding rather than memorization.
2997,English,Reading Comprehension,Choose the correct answer related to Reading Comprehension.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
2998,English,Reading Comprehension,Which option best fits the rule of Reading Comprehension?,Statement 1,Statement 2,Statement 3,Statement 4,A,Focus on conceptual understanding rather than memorization.
2999,Physics,SHM,"In SHM, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,B,Focus on conceptual understanding rather than memorization.
3000,English,Vocabulary,Identify the correct option in Vocabulary.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Use elimination to remove incorrect options quickly.
3001,Physics,Work Energy Power,"In Work Energy Power, which statement is correct?",Option A concept,Option B concept,Option C concept,Option D concept,C,Review the core concept from the FSc textbook.
